conm,tic,cik,sic
STORM DRILLING & MARINE INC,SDC.1,94690,7370
STORY CHEMICAL CORP,SCHM.1,94697,2844
BT ENERGY CORP  -CL A,BTNRA,716786,1311
STRATOFLEX INC,1939B,94816,3050
STRATTON GROUP LTD,SGR.2,94824,5331
STRATUS COMPUTER INC,SRA.3,723610,3571
STRAWBRDGE &CLOTHIER  -SER A,STRWA,94855,5311
STRIDE RITE CORP,SRR,94887,3140
STRIKER INDUSTRIES INC,SKRI,352944,2621
STROTHER DRUG CO,SDCO.,94920,5122
STRUTHERS INDUSTRIES INC,SIIS,94945,5160
STRUTHERS WELLS CORP,7187B,94947,3443
STRYKER CORP,SYK,310764,3842
STUARTS DEPARTMENT STORES,SRTDQ,744795,5331
NAVIENT CORP,NAVI,1593538,6111
STROH BREWERY CO,2981A,724688,2082
TUBBY'S INC,3TUBY,725398,5140
STURM RUGER & CO INC,RGR,95029,3480
SUBARU OF AMERICA,SBRU,95056,5010
SUBURBAN AIRLINES INC,SALI,351234,4512
SUBURBAN BANCORP,SUBC.,906934,6020
SUBURBAN PROPANE GAS CORP,SPG.1,95092,5900
SUDBURY INC,SUDS,811801,3320
SUKUT CONSTRUCTION INC,1380B,95163,1600
SULCUS HOSPITALITY TECH CP,SUL,726712,3571
SULLAIR CORP,SUL.1,95169,3560
SUMITOMO MITSUI FINANCIAL GR,SMFG,1022837,6020
SUMMA MEDICAL CORP,3SMDL,310438,7373
SUMMERS ELECTRIC CO,SUMR.1,95237,5063
SUMMIT BANCORPORATION,SUBN,200754,6020
SUMMIT HEALTH LTD,3SUMH,725555,8062
SUMMIT MORTGAGE INVESTORS,2322B,95275,6798
GRASSO CORP,GRSO.1,1058608,1311
SUMMIT ORGANIZATION INC,SMT.1,95280,2300
SUMMIT PETROLEUM CORP,3SMMP,353196,1311
SUMMIT SYSTEMS INC,SLOT.,315353,3990
SEQUA CORP  -CL A,SQA.A,95301,3724
SUN COAST INDS INC,SN.1,319129,2821
SUN ELECTRIC CORP,SE.2,95311,3825
SUN EQUITIES CORP,SECC,49474,6552
SUNOCO INC,SUN.1,95304,2911
SUNAIR SERVICES CORP,SNR.1,95366,700
SUNDSTRAND CORP,SNS.2,95395,3728
SUNERGY COMMUNITIES INC,SUNY.,314437,5271
SUNGROUP INC,SGUP,67903,4832
SUNLITE INC,3SNLTE,312540,9995
SUNNYDALE FARMS INC,1185B,95425,2020
SUNSET INDUSTRIES INC,SUNS.,95459,5211
SUNSHINE CONSOLIDATED INC,SHN.2,95474,1044
SUNSHINE-FIFTY INC,SSHN,95477,3541
SUNSHINE-JR STORES,SJS,95479,5412
SUNSHINE MINING & REFINING,SSMR,833376,1044
SUNSHINE RESOURCES INTL INC,2261B,11396,5912
SUNF INC,7512B,95490,2090
SUNSTATES CORP  -OLD,SUST.,320348,1531
SUNTEC SYSTEMS INC,3087B,230578,3433
SUPER DOLLAR STORES INC,SDOL.,95501,5331
SUPER FOOD SERVICES INC,SFS.,95504,5141
SUPER SKY INTERNATIONAL INC,SSKY.,703304,3444
SUNRISE MEDICAL INC,SMD.1,720577,3842
SUNSTATES CORP/DE,3SUST,103575,2511
SUNTRUST BANKS INC,STI,750556,6020
SUPER RITE CORP,SUPR.1,854728,5140
SUPER STORES INC,1867B,95518,5331
SUPERVALU INC,SVU,95521,5141
SUPERCRETE LTD,SCT.3,95529,3241
SUPERIOR CARE INC,SI.3,1141076,8082
SUPERIOR ELECTRIC CO,SUPE,95543,3621
SUPERIOR FOODS INC,SUPF.,95548,2013
SUPERIOR INDUSTRIES INTL,SUP,95552,3714
SUPERIOR OIL CO,SOC.3,95559,1311
SUPERIOR GROUP OF COS INC,SGC,95574,2300
SUPERMARKETS GEN HLDG  -CL A,5654C,821139,5411
SUPERTEX INC,SUPX,730000,3674
SUPPLY RESOURCES INC,1482B,95616,2200
SUPRADUR COS INC,SUPD,95618,3272
SUPREMA INTERNATIONAL INC,SUPRE,709332,5080
SUPREME EQUIP & SYSTEMS CORP,3SEQPE,95620,2522
SUPRONICS CORP,SU.1,95632,2844
SURGICAL CARE AFFILIATES-OLD,SCA.2,722692,8011
SURGICOT INC,SURC,95657,3841
SURVEYOR INDUSTRIES INC,SVLR,205949,1311
MERIDIAN MEDICAL TECH INC,MTEC.1,95676,3841
SUSQUEHANNA CORP,SQN,95690,3080
SUTRON CORP,STRN,728331,3829
SWANK INC,SNKI,95779,3100
SWANTON CORP,4240B,95799,1221
SWEDLOW INC,SWED,95830,3089
SWEITZER HOLDINGS INC,1421B,49751,3540
SILVERBOW RESOURCES INC,SBOW,351817,1311
GROVEWARE TECHNOLOGIES LTD,GROV,1484931,7372
SWIFT INDUSTRIES INC,2236B,95875,2451
SWINGLINE INC,SWL.,95893,3579
SWISS CHALET INC,3SWSS,95898,7011
SWITCHCO INC,SXCO,354874,3661
SYBRON CORP  -OLD,SYB.1,95907,3843
SYCOR INC,SYC.1,95917,3575
SYKES DATATRONICS INC,PSYC.1,95923,7373
STS LIQUIDATING CORP,3SYMKE,350615,3825
SYMBION INC-OLD,SYMB.,720327,3842
SYMBOL TECHNOLOGIES,SBL.2,278352,3577
SYMBOLICS INC,SMBXQ,745664,3577
SYMMAR INC,2508B,95948,6799
TRINITY PLACE HOLDINGS INC,TPHS,724742,6512
SYNALLOY CORP,SYNL,95953,3317
SYNBIOTICS CORP,SYNB,719483,2835
SYNCOR INTL CORP/DE,SCOR.1,202763,5122
SYNERGETIC SCIENCES INC,2699B,95983,5084
SYNERGISTICS INC,4145B,95986,3690
SYNTECH INTERNATIONAL INC,IDWD,351940,3578
SYNTEX CORP,SYN.1,96000,2834
SYNTHETECH INC,3NZYM,749290,2860
SYNTREX INC,3STRX,318280,7373
SYRACUSE SUPPLY CO,SYRA.,96014,5082
SYSCO CORP,SYY,96021,5140
SYSCON CORP,SCON.,354608,7373
SYSTEM DEVELOPMENT CORP,1047B,96031,7373
SYSTEM INTEGRATORS,5856C,707140,7373
SYSTEMATICS GENERAL CORP,SYSG,96051,3571
SYSTEMS & COMPUTER TECH CORP,SCTC.,707606,7372
SYSTEMS ASSOCIATES INC-DEL,SAIN,718076,7373
NETCARE HEALTH  GROUP INC,3NCGHE,705581,5122
SYSTEM INDUSTRIES INC,SYI.1,352698,3572
SYNTHEMED CORP,2974B,350489,3845
SYSTEMATICS INC,SYST,354151,7370
SYNCOM CORP,SYCP,1036555,5141
SYSTEMS ENGINEERING & MFG CP,SEM.1,96065,3559
SYSTEMS TECHNOLOGY ASSOC INC,STAI,756824,3661
SYSTONETICS INC,6250B,96079,7372
TBC CORP,TBCC,718449,5531
TBC INDUSTRIES INC,TBCI,22718,5030
T-BAR INC,TBR.2,96097,3661
TCA CABLE TV INC,TCAT,700997,4841
TCBY ENTERPRISES INC,TBY.,740693,2024
TCR SERVICE INC,2414B,96614,7389
TCS ENTERPRISES INC,9370B,733729,6163
TDA INDUSTRIES INC,3TDAS,96617,5063
TDK CORP,TTDKY,203383,3670
TECO ENERGY INC,TE,350563,4931
TEL OFFSHORE TRUST,TELOZ,97148,6792
EQUION CORP,5954C,769677,3714
T.G.I.F. TEXAS INC,TEXF,730041,5812
TGI FRIDAY'S INC,TGI.1,1157691,5812
TIC INTERNATIONAL CORP,7437B,98596,8742
TIE/COMMUNICATIONS INC,TIE.1,313309,3661
INTERCOM SYSTEMS INC,IRCM,723501,3825
TII NETWORK TECHNOLOGIES INC,TIII,277928,3669
T.I.M.E. DC INC,5824B,98313,9995
TLS CO,4564B,726997,7374
TMA CO,TMA.1,98483,3651
TMC INDUSTRIES LTD,2911B,98485,3580
TNP ENTERPRISES INC,0223B,741612,4911
TNR TECHNICAL INC,TNRK,723615,3690
TPC COMMUNICATIONS INC,3TPCM,217370,7819
KESTREL ENERGY INC,KSTR.1,312842,1311
TRC COS INC,TRR,103096,8711
TRE CORP,TRE.1,99487,3728
TRP ENERGY SENSORS INC,4465B,352995,3829
TRW INC,TRW.1,100030,3714
TSC CORP,TSCC.,90712,8711
TSC INC,TTSC,3966,8731
TSI INC/MN,TSII,899217,3823
TSR INC,TSRI,98338,7371
TMBR/SHARP DRILLING INC,TBDI,751288,1381
TTS INC,TTSI.1,23030,7370
TVC IMAGE TECHNOLOGY INC,3TVCI,27030,7819
TVI CORP,TVINQ,352079,7359
TX INDUSTRIES INC,2053B,43481,4100
TAB PRODUCTS,TBP.1,96116,2522
TACO BELL,TACO.1,96140,5812
TACO CHARLEY INC,TACC,354814,5812
MIAMI SUBS CORP,3SUBS,875174,5812
TACOMA BOATBUILDING,TBBU,318830,3730
TAFT BROADCASTING CO,TFB.,96167,4833
BIOSOURCE INTERNATIONAL INC,BIOI.,860451,2835
TAL-CAP INC,TALC,96207,6799
TALLEY INDUSTRIES INC,TAL.1,96238,3312
TALLY CORP,TALY,96246,3577
TAMBRANDS INC,TMB.1,96277,2670
TAMPA ELECTRIC CO,TE1,96271,4931
TANDEM COMPUTERS INC,TDM.,315180,3571
TSL HOLDINGS INC,TSLHQ,350068,3571
BOMBAY CO INC,BBAO,96287,5712
RS LEGACY CORP,RSHCQ,96289,5731
TANDYCRAFTS INC,TACR,96294,5940
TANO CORP,TANO.1,700994,3620
TAPE SPECIALTY INC  -OLD,2975B,353821,3652
TAPECON INC,1866B,96353,2670
EUNITS 2 YR U S MKT PARTN II,ETUB,1541133,6726
TASTY BAKING CO,TSTY,96412,2050
TAX COMPUTER SYSTEMS INC,2194B,96457,7200
TAYLOR DEVICES INC,TAYD,96536,3569
TAYLOR INTERNATIONAL CORP,1881B,96551,1540
TAYLOR RENTAL CORP,TREN.,96573,6794
TEAM INC,TISI,318833,8734
TEC TORCH CO INC,1886B,96654,3690
TECFIN CORP,TEFN,352860,6172
TECH OPS INC,TO.,96673,8734
TECH SERV INC,2612B,96668,3690
TECH-SYM CORP,TSY.1,96669,3679
SIMCLAR INC,SIMC,764039,3679
TECHNALYSIS CORP,TECN,96677,7371
TECHNAMATION INC,TECO.1,96680,3827
TECHNICAL COMMUNICATIONS CP,TCCO,96699,3663
TECHNICAL MATERIEL CORP,3TCMT,900687,3663
TECHNICAL TAPE INC,TTI.3,96736,2670
TECHNICARE CORP,TEC.4,96744,3841
TECHNICOLOR INC,TK.1,96746,7819
TECHNICOM INTERNATIONAL INC,TCM.2,701714,3661
TECHNICON CORP,TCN.1,96748,3826
PULSE ELECTRONICS CORP,PULS.1,96763,3679
TECHNODYNE INC,6559B,315777,5122
TECHNOGENETICS INC,TXNO,745376,2835
TECHNOLOGY DEVELOPMENT CORP,TDCXE,770719,3825
TECHNOLOGY 80 INC,3TKAT.,735703,3823
TCI INTL INC,TCII,357064,3812
SUNLINK HEALTH SYSTEMS INC,SSY,96793,5912
TECHNOLOGY MARKETING INC,3TMKTE,351115,3825
TECHNOLOGY RESEARCH CORP,TRCI,741556,3613
TECHO CORP,EHC.1,96810,1600
TECHTRAN INDUSTRIES INC,TECH.1,96813,3572
TECK RESOURCES LTD,TECK,886986,1000
TECUMSEH PRODUCTS CO,TECU,96831,3585
TECTEL INC,TCTQE,703893,3661
TELCO SYSTEMS INC,TELC.,736893,3661
TEJAS OIL & GAS CO,TEJSE,356463,1311
TEJON RANCH CO,TRC,96869,100
TEKTRONIX INC,TEK.1,96879,3825
HAMPTON CONSULTING CORP,HCNP,756767,6200
TELEBYTE INC,TBTI,726451,3576
TELECALC INC,TLCQE,741038,3661
TELECO OILFIELD SERVICES INC,3TLCO.,310486,1389
TPI ENTERPRISES INC,3TPIE,96919,5812
TELECOMMUNICATIONS SPECIALST,TLSP.,723433,3663
VIRAL TESTING SYSTEMS CORP,3VTSC,48107,2835
TELECOR INC,TCR.1,96926,7359
TELECREDIT INC,TCRD.1,96929,7389
ALLEGHENY TECHNOLOGIES INC,ATI,1018963,3350
TELEFLEX INC,TFX,96943,3841
TLM CORP,3TLMK,96959,6512
TELEMED CORP,TMED.,96960,8060
TELEPHONE & DATA SYSTEMS INC,TDS,1051512,4812
LORIMAR TELEPICTURES,6049B,313303,7812
TELEPROMPTER CORP,TP.1,96982,4841
TELERAM COMMUNICATIONS CORP,3TLRC,718248,3575
TELERATE INC,TLR.1,717240,6200
TELERENT LEASING CORP,TLRT,96987,7359
MARLTON TECHNOLOGIES,MTYG,96988,7389
LARCAN-TTC INC,3LTTC.,700800,3663
TELLABS INC,TLAB,317771,3661
TELXON CORP,TLXN,352495,3578
TEMPLE INDUSTRIES INC,TEM.2,97072,2400
TEMPLE-INLAND INC,TIN,731939,2631
TELETEK INC,TLTK,312979,4813
TELEMETRY CONTROLS INC,3091B,316372,3822
TELESPHERE COMMUNICATIONS,3TSPH,351978,4813
TELSTAR CORP,3TSTR,700908,4841
TELEVIDEO INC,TELVQ,353779,3575
TELEPHONE SPECIALISTS INC,TESPE,715805,7385
TELEPHONE SUPPORT SYS INC,3TSSIE,718809,3661
TELETRAK ENVIRONMENTAL SYS,TAES,722828,3561
WENDT-BRISTOL HEALTH SVC CP,WMDB,728392,8071
TEMPLET INDUSTRIES INC,2882B,97079,3634
TGX CORP,3TGXC,319650,1311
WANDERPORT CORP,WDRP,110740,3433
ATC HEALTHCARE INC  -CL A,AHNA,720480,7363
TENNA CORP,TNA.1,97130,3663
TENNANT CO,TNC,97134,3580
TENNECO CORP,TEN1,110742,3523
TENNECO INC,TEN,1024725,3714
TENNESSEE FORGING STEEL CORP,TFS.1,97158,3310
TENNESSEE NATURAL RESOURCES,TENN,724986,4924
TENNESSEE VALLEY AUTHORITY,3015A,1376986,4911
TENNEY ENGINEERING  -CL B,TNNY.,97184,3569
TENNIS LADY INC,3LADY,731268,5600
AMERICAN INDEPENDENCE CORP,AMIC,97196,6324
TENERA INC,TNRA,804731,8711
TERADYNE INC,TER,97210,3825
TERAK CORP,TCGSQ,714375,7373
TERMIFLEX CORP,TFLX,726431,3575
TERMINAL DATA CORP,TERM.1,97224,3861
DYNAMIC HEALTHCARE TECH INC,DHTI,720481,7373
TERRA RESOURCES INC,TRRA.,97245,1311
TERRAMAR CORP  -OLD,4120B,97258,7200
TERRAPET ENERGY CORP,TPET.,1384820,1311
TERRYDALE REALTY TRUST,TRYLS,97292,6798
TESCO AMERICAN INC,TECO.,315981,3531
TESDATA SYSTEMS CORP,TDSCE.,217338,3669
ANDEAVOR,ANDV,50104,2911
TESTAMATIC CORP,5826B,720790,3825
BEESFREE INC,BEES,1432139,3523
ETERNITY HEALTHCARE INC,ETAH,1437822,8090
TEXACO CANADA INC,TXC,845615,2911
TEXACO INC,TX.2,97349,2911
TETRA SYSTEMS INC,4171B,351225,1311
UNITED AIRLINES INC,UAL2,319687,4512
TEXAS AMERICAN BANCSHARES,TXA.1,97378,6020
TEXAS AMERICAN RESOURCES,7426B,2825,1311
TEXAS COMMERCE BANCSHARES,TCB.3,97409,6020
TEXAS EAGLE OIL CO,TEOC,317818,1311
TEXAS EASTERN CORP,PEL4,97430,4922
TEXAS EASTERN TRANSMISSION,PEL5,97432,4923
TEXAS ELECTRIC SERVICE CO,3066A,97437,4911
TEXAS ENERGIES INC,TXEN,318671,1381
TEXAS GAS TRANSMISSION LLC,4093A,97452,4922
THT INC,TXHI,721602,2670
TEXAS INDUSTRIES INC,TXI,97472,3241
TEXAS INSTRUMENTS INC,TXN,97476,3674
TEXAS INTL AIRLINES INC,TEX4,1084173,4512
PHOENIX RESOURCE COS,PHN.1,97483,1311
TEXAS NEW MEXICO POWER CO,PNM2,22767,4911
TEXAS OIL & GAS CORP,TXO,97509,4922
TEXAS PACIFIC LAND CORP,TPL,1811074,6792
TEXAS PLASTICS INC,1422B,97521,3081
TEXAS POWER & LIGHT CO,3067A,97523,4911
ENERGY FUTURE HOLDINGS CORP,0033A,1023291,4911
ENERGY FUTURE COMPETITIVE,0032A,1445049,4911
TEXAS VANGUARD OIL CO,TVOC,315261,1311
TEXASGULF INC,TG.2,97571,1400
TEXFI INDUSTRIES INC,TXFI,97579,2221
TEXCEL INTERNATIONAL,3TXELE,729519,3564
TEXO OIL CORP,TEXO,97598,1311
TEXON ENERGY CORP,3TXON,312827,3089
TSX CORP,TSXX,896560,3663
TEXSTAR CORP,TEX.,97607,3714
TEXTONE INC,TXTN,110777,2430
TEXTRON INC,TXT,217346,3721
THACKERAY CORP,3THKY,354639,6532
THALHIMER BROTHERS INC,THAL,97654,5311
THERATECH INC,4479B,885015,3845
THERMAL ENERGY STORAGE INC,THES,313277,8711
THERMAL INDUSTRIES INC,THMP,97726,3089
THERMAL PROFILES INC,3THPR,319239,3080
THERMAL SYSTEMS INC,3THSI,318289,3433
THERMO FISHER SCIENTIFIC INC,TMO,97745,3826
THERMODYNETICS INC,TDYT,351902,6510
THERMOTECH INDUSTRIES INC,THTO,97770,3089
THERMWOOD CORP,TOOD,732240,3550
THETFORD CORP,THFR,97780,3089
THERMATRON INC,3TMTR,276073,3444
THERMEDICS INC,TMD.1,721356,3590
THIOKOL CORP,THI.1,110377,2820
THIRD NATIONAL CORP,TDAT.,97813,6020
THOMAS & BETTS CORP,TNB,97854,3640
THOMAS INDUSTRIES INC,TII.1,97886,3560
THOMAS INTERNATIONAL CORP,THOMC,104771,3931
THOMASTON MILLS INC  -CL A,TMST.1,97931,2211
THOMPSON MEDICAL CO INC,5565C,312902,2834
THOR ENERGY CORP,THOR.,79403,1311
THOR ENERGY RESOURCES INC,9046B,3933,1311
THOR INDUSTRIES INC,THO,730263,3790
THORATEC CORP,THOR.1,350907,3845
THORN APPLE VALLEY INC,TAVI,38851,2011
THOUSAND TRAILS INC,TRV.2,1024124,7000
3COM CORP,COMS.,738076,3576
THREE D DEPARTMENT  -CL B,TDDB,34169,5700
THRIFTWAY LEASING CO,THRF,98130,7500
THOMSON MCKINNON INC,4134B,217356,6211
SHELTER COMPONENTS CORP,SST.1,821530,5072
TICOR,TI.3,98178,6361
TIDELANDS ROYALTY TRUST B,TIRTZ,276077,6792
TIDEWATER INC,TDW,98222,4400
SIX FLAGS ENTERTAINMENT CORP,SIX,701374,7996
TRADESTAR CORP,TSRR,354623,1311
TIGER INTERNATIONAL,6068B,225939,4512
TIMBERLAND INDUSTRIES INC,TIMB.1,75662,2430
TIMBERLINE MINERALS,TIMM,98305,1000
TIMBERLINE SOFTWARE CORP,TMBS,314436,7372
TIME WARNER INC-OLD,TWX.1,1021387,7812
TIME TECHNOLOGY INC,TTIC,742699,6532
TIMEPLEX INC,TIX.1,98346,3661
TIMES MIRROR CO  -SER A,TMC,925260,2711
TIMKEN CO,TKR,98362,3562
TIMPTE INDUSTRIES INC,TMT.2,98373,3713
TINSLEY LABORATORIES INC,TNSL.1,98383,3827
TINTIC MOUNTAIN MINING CORP,2595B,98389,1000
TIPPERARY CORP,TPY,98410,1311
TITAN CORP,TTN,32258,7373
TITAN ENERGY CORP,2896B,216607,1311
TITAN WELLS INC,2536B,98451,1311
TO FITNESS INC,TFIT,764635,5140
TOBIAS KOTZIN CO,TOB.1,98507,2300
TOBIN PACKING CO INC,TOBN,98513,2011
TOCOM INC,TOCM,98519,3663
TODD SHIPYARDS CORP,TOD,98537,3730
TOFUTTI BRANDS INC,TOFB,730349,2024
TOKHEIM CORP,THMC,98559,3580
TOKLAN OIL CORP,5827B,98562,1311
TOLEDO EDISON CO,FE3,352049,4911
TRUSTCORP INC,TTCO,73028,6020
TOLTEC ROYALTY CORP,4016B,314759,8700
SPARTA COMMERCIAL SERVICES I,SRCO,318299,7370
TOMANET FINANCIAL CORP,2537B,202583,3490
TOMLINSON OIL CO INC,4566B,98633,6799
TONKA CORP,TKA.,98651,3944
TOOTSIE ROLL INDUSTRIES INC,TR,98677,2060
TOP BRASS ENTERPRISES INC,TPBQE,732351,5731
TOPAZ INC,TPZ.1,731913,3612
TFC INTL INC  -CL A,6186B,98712,6153
GLOBE LIFE INC,GL,320335,6311
TOREADOR RESOURCES CORP,TRGL,98720,1311
TORGINOL INDUSTRIES INC,TELO,98724,3060
TORIN CORP,TOR.2,98727,3564
TORO CO,TTC,737758,3523
TOROTEL INC,TTLO,98752,3677
TORR LABORATORIES INC,2442B,98755,3845
TOSCO CORP,TOS.1,74091,2911
TOSHIBA CORP,TOSYY,98573,3600
TOTAL ASSETS PROTECTION INC,TAPPE,741330,8711
TOTAL ENERGY LEASING CORP,1948B,98777,7389
TOTAL PETROLEUM OF N AMERICA,TPN.1,98781,2911
TOTH ALUMINUM CORP,TOTH,98788,3350
TOWER INDUSTRIES INC,1435B,98822,3540
TOWER PRODUCTS INC,TWPR,98826,3081
TOWER PROPERTIES CO,TPRP,98827,6512
TOTAL SYSTEM SERVICES INC,TSS,721683,7389
TOTALMED ASSOCIATES INC,3TOTME,715806,8011
TOWN & COUNTRY CORP  -CL A,TCCEA,768608,3911
TOWNER PETROLEUM CO,3TRPEE,710202,1311
TOYS PLUS INC,TOYSQ,741266,5945
TOYS R US INC,1231B,1005414,5945
TRACOR INC,TTRR,829221,3812
TRAFALGAR INDUSTRIES INC,TRF.1,37337,1221
TRAID CORP,TRDC,98994,3861
TRAILERANCHO CORP,TRNH,99008,6500
TRAILMOBILE FINANCE CO,ALD4,99014,6159
TRAK AUTO CORP,TRKA.,716438,5531
TRANE CO,TRA.3,99037,3585
TRANS ATLANTIC RESOURCE CORP,4619B,49803,1389
TRANS DELTA CORP,TRND.2,99089,1311
TRANS GRAPHICS INC,1431B,99095,2780
TRANS-INDUSTRIES INC,TRNIQ,99102,3990
TRANS LOUISIANA GAS CO INC,TRLA.1,717241,4924
TRANS-LUX CORP,TNLX,99106,3990
TRANS NATIONAL LEASING INC,TNLS,99114,7510
TRANS SERVICES CORP,1973B,99133,2750
TRANS UNION CORP,TU.1,99141,4700
TRANS WORLD AIRLINES,3TWAIQ,278327,4512
TRANSACT INTL INC,3TRAHE,102701,3537
TRANSAMERICA CORP,TA.1,99189,6311
TRANSAMERICA FINANCE CORP,TA2,99193,6153
TC ENERGY CORP,TRP,1232384,4922
TRANSCO ENERGY CO,E.2,99231,4922
TRANSCO EXPLORATION  -LP,EXP.3,720246,1311
TRANSCO REALTY TRUST,TCRTS,99235,6798
TRANSCON BUILDERS INC,1387B,99240,6552
US 1 INDUSTRIES INC,USOO,351498,4213
TRANSCONTINENTAL GAS PIPE LN,E1,99250,4922
TRANSDATA CORP,1896B,99272,7377
TRANSDUCER SYSTEMS INC,XNSR,99275,3679
TRANSIDYNE GENERAL CORP,TGCO,99285,3841
TRANSITRON ELECTRONIC CORP,4482B,99296,3678
TRANSCAT INC,TRNS,99302,8734
TRANSNET CORP,TRNT,99313,5045
TRANSOCEAN OIL INC,TOCN,99316,1311
TRANSCAPITAL FINANCIAL CORP,3TFCN,99321,6035
TRANSOK INC,TEJ1,99323,4922
TRANSPORT POOL CORP,TIP.2,99343,7389
BREEZE-EASTERN CORP,BZC,99359,3537
TRANSTECTOR SYSTEMS INC,3TTORE,746630,3674
TRANS STERLING INC,1293A,7166,7990
TRANSAMERICA OCCIDENTAL LIFE,TA1,837757,6311
TRANSWAY INTERNATIONAL CORP,TNW.,99369,3714
TRANSWESTERN PIPELINE CO,4022A,99379,4922
TRANSWORLD INVESTMENT CORP,TWLD10,99382,6500
TRANSWORLD SERVICES INC,1426B,99386,8711
TRANZONIC COS,TNZ,1761,2670
TRAVEL EQUIPMENT CORP,TEQPQ,99419,3716
TRAVELERS CORP,TIC.1,99429,6331
TRAVELODGE INTERNATIONAL INC,2819B,99461,7011
TREMCO INC,TREM,99535,2890
TREXAR CORP,2820B,70328,6153
OCM LIQUIDATING CORP,TRIC.1,99608,3950
TRI-CONTINENTAL CORP,TY,99614,6726
TRI-STATE MOTOR TRANSIT,7492A,744081,4213
TRIAD SYSTEMS CORP,TRSC.,313867,7373
TRIANGLE BRICK CO,2485B,99688,3250
AUDITS & SURVEYS WORLDWIDE,ASW.1,99703,8700
TRIANGLE HOME PRODUCTS INC,3THPDE,99693,2510
TRIAN HOLDINGS INC,5934A,99694,3411
TRIANGLE MICROWAVE INC,TRMW,707889,3679
TRIANGLE PACIFIC CORP,TRIP.,230602,2400
TRIDEX CORP,3TRDXQ,47254,7372
TRIBORO COMMUNICATIONS INC,TBCM,351020,7385
TRIBUNE MEDIA CO,TRCO,726513,4833
TRIBUNE OIL CORP,1891B,99717,6792
TRIBUNE/SWAB-FOX COS  -CL A,TSFC,66109,2721
TRICO PRODUCTS CORP,TRCO.1,99724,3714
ELXSI CORP,ELXS,712843,3829
TRIMEDYNE INC,TMED,357001,3845
TRINITY INDUSTRIES,TRN,99780,3743
TRINITY RESOURCES LTD,3TRTTF,801994,1311
TRINITY TRADE CORP,1892B,99791,5940
TRIO LABORATORIES INC,1946B,1697782,3679
TRIO-TECH INTERNATIONAL,TRT,732026,3559
TRION INC,TRON.,99802,3564
TRIPLE CHECK INC,TRCHC,99808,7389
TRITON ENERGY LTD,OIL.7,1009404,1311
TROPICANA PRODUCTS INC,TOJ,99889,2030
TROPIX TOGS INC,TTOG,99892,2300
TRUNKLINE GAS CO,PEL2,99971,4922
TJ INTERNATIONAL INC,TJCO,99974,2430
TRUST CO OF GEORGIA,TRGA.,99978,6020
TSENG LABORATORIES INC,TSNG,741742,3577
TUBOS DE ACERO DE MEXICO,TAM.1,100084,3312
TUCKER DRILLING CO INC,TUCK,100102,1381
UNS ENERGY CORP,UNS,941138,4911
TUFTCO CORP,TUF.1,100139,3559
VOLITIONRX LTD,VNRX,93314,2835
TULTEX CORP,TLTXQ,100166,2253
TULSTAR FACTORS INC,TLTXQ1,100165,6153
CANADIAN TURBO INC,4121B,318011,2911
TURBODYNE CORP,TBD.,100205,3560
TURF PARADISE INC,TURF.,100217,7948
TURNER BROADCASTING  -CL B,TBS.B,100240,4833
TURNER CORP,TUR.2,743475,1540
TWENTIETH CENTURY-FOX FILM,2888A,356364,7812
BRIX MARITIME CO,4567B,100373,4400
TWIN DISC INC,TWIN,100378,3560
TWIN FAIR INC,TWN.1,100381,6512
CANNON PICTURES INC,3CNPIE.,703807,7822
TWENTY SERVICES INC,0120A,31704,6141
II MORROW INC,MORW,739495,3812
TYCO INTERNATIONAL PLC,TYC,1608109,3669
TYLAN CORP,TYLN,317552,3823
TYLER TECHNOLOGIES INC,TYL,860731,7373
TYMSHARE INC,TYM.1,100465,7374
BULOVA TECHNOLOGIES GP INC,BTGI,317889,4213
TYRONE HYDRAULICS INC,TYHY,100482,3590
TYSON FOODS INC  -CL A,TSN,100493,2011
UNITED AIRLINES HOLDINGS INC,UAL,100517,4512
UBZ CORP,UBZC,100709,3350
UCCEL CORP,UCE,217586,7372
UDC HOMES INC  -LP,3UDCHQ,890326,1531
UDS INC,UDS.2,100536,3448
UGI CORP,UGI,884614,4932
UI GROUP INC,UIG,100511,100
UMC ELECTRONICS CO,UMCE,100619,3621
USPCI INC,UPC.1,737023,4955
U.N.A. CORP,4485B,79482,5051
UNC INC,UNC,276104,3724
FRANKFORT TOWER INDS INC,FFTIQ,315641,3440
UOP INC,UOP.1,102229,3350
URS CORP,URS,102379,8711
URT INDUSTRIES INC,URTSA,101461,5735
USF&G CORP,FG.1,354396,6331
USG CORP,USG,757011,3270
USLICO CORP,USC.1,750234,6311
USM CORP,USM.1,102432,3559
USP REAL ESTATE INVT TRUST,USPTS,102438,6798
USR INDUSTRIES INC,8116B,316911,3873
UT CREDIT CORP,UTX1,102446,6172
UTL CORP,UTLC,102552,3812
UARCO INC,URC..,15216,2761
UINTAH ENERGY CORP,3UTEN,350095,6799
ALLERION INC,3AERI,350874,7373
MDI INC,MDIZQ,318259,9995
ULTRASYSTEMS INC,HAD1,352060,8711
UNDERGROUND SURVEYS CORP,2427B,100654,3861
UNICARE SERVICES INC,1963B,100714,8050
UNICO AMERICAN CORP,UNAM,100716,6331
LINCORP HOLDINGS INC,3LCPH,202172,6035
